time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description
2021-10-16 12:00:59,,ALGO,21.5,,,ALGO,0.001,B3DMZ5CAMIJICUX327HBCUBDFK7F6RIFJYK3YPMJRSLKBGQWHJXQ,Sender
2021-10-17 02:06:33,,,,ALGO,5.,,,IELSZKYSW2SFNEMIFD7ELQDP7EPYRPRF5AAJMB4FITFY2F34SGZQ,Receiver
2021-10-17 02:08:15,,ALGO,5.3,,,ALGO,0.001,NV5PN2AL44LNAZ42COUIUATIOH4WHQ6M7RB5BT5XIDGZIBTZPU6A,Sender
2021-10-17 02:47:56,,,,ALGO,10.55,,,3IGP6QWMNWYT2ZAXMQA2UPBQSKQCJUADOJ5Y2LFSSV3D6OS53OUA,Receiver
2021-10-17 02:49:2,,ALGO,10.5,,,ALGO,0.001,QYSMMIJOJAR4L46VEHF5TDIIJLF5SUX2GTYHDLHXNX7T2L65IVIQ,Sender
2021-10-17 09:33:13,,,,ALGO,12.78,,,ZWY6AQPB5HBRYAS6FFPLKXJPXIYF2TYQD4T36DBZC34B42LFWXZA,Receiver
2021-10-17 09:34:41,,ALGO,13.,,,ALGO,0.001,74X3XIMRPYDTTMKYGRYRF5UCVI57YMJEM2XQELFX36DZUDOCUDNQ,Sender
2021-10-17 12:03:32,,,,ALGO,19.62,,,354B6TE2XTIA6TD3VK5JR7NB7J4EEXGV6VA35P4PM4O3EXYGJYKQ,Receiver
2021-10-17 12:04:34,,ALGO,19.6,,,ALGO,0.001,E4M7PRVATCIAM7JLUH6X5PQUWVGKELLYE5MNJ7ISOKMA36C6L4FA,Sender
2021-10-18 05:38:52,,,,ALGO,15.,,,QNPIGLTCAUZJNERNSQB7GAVS36VSPZXBSVQ2GDPX5GYPSGFVGNOA,Receiver
2021-10-18 05:40:55,,ALGO,15.,,,ALGO,0.001,B6F2AHIB6R3OBEBP73DQOWUQDBQYLN6EQ4UF5WFNLACTURM4E36Q,Sender
2021-10-18 07:28:49,,,,ALGO,15.1,,,FFW2O3AFIVMUJ3XH7DXBRIBZG6UF7CIIFXOHYGK65G4V6NTP4OZQ,Receiver
2021-10-18 07:30:25,,ALGO,15.1,,,ALGO,0.001,V3S4KCKTOV2RXGBFEFPTRPOXWC6XF2OIXB2UWYHEHQNJQIMEPVUA,Sender
2021-10-18 12:32:11,,,,ALGO,11.87,,,ZLXS2WULLKKQNYTA5CHVR2THGRP6STW6N2LZ6STC53OX2NRLXNKQ,Receiver
2021-10-18 12:34:25,,ALGO,11.8,,,ALGO,0.001,F7ZVONGDXQPAUKQWHPFVACHB5ERXY7Y7HDW6TGNY5KVZALCBM2HA,Sender
2021-10-18 12:55:21,,,,ALGO,15.95,,,QS3O7DANYVLK72KH7FCAQTNJXN5OHZHJXL4H4IKIDQQBAQENGPEQ,Receiver
2021-10-18 12:56:45,,ALGO,16.,,,ALGO,0.001,TVVAS6FKBAZZKZFOJQ67JREGRG6AAE34XX4JYBAZHEHM2XOIDCPA,Sender
2021-10-18 13:43:4,,,,ALGO,24.1,,,SQAH7QJACX3SZLWCTTPI3WTDTG4OIIK5XMP5HIBMS74327RCWJJA,Receiver
2021-10-18 13:44:41,,ALGO,24.1,,,ALGO,0.001,IYR53QKZ5EVRQNX7LDPXVVSMHV3COPG7GTK2GR3U2SRMHOW5PCFA,Sender
2021-10-19 10:13:35,,,,ALGO,10.35,,,QDH3PXHCBBALV6DVO4W45Q33STCJPNIIPYXEBUCINJYV3G7ZOO3Q,Receiver
2021-10-19 10:15:28,,ALGO,10.3,,,ALGO,0.001,EUPY5XFPVCUADCOAORFIRAM5L3BR5Q3O3BQS6HKHELHPEJIINPKA,Sender
2021-10-20 02:55:42,,,,ALGO,27.99,,,T6SKRD3ACMVRQ3ZZWIPRHAUAVRGI4KFNZAIL7IWVV4TTI5TGFJOQ,Receiver
2021-10-20 02:57:06,,ALGO,28.,,,ALGO,0.001,DUCKNY4VBJNOFOIHDB4P5MTVL4AMSZQJDGQC5ARPNK5AYFW3U7GQ,Sender
2021-10-20 07:20:22,,,,ALGO,1.53,,,TX2JMAXF6TSZFM2QDG65IX6VPH5ADBCDLI3BOFA23PBAARG3KLGA,Receiver
2021-10-20 07:21:36,,ALGO,1.6,,,ALGO,0.001,CAIR6XY2CQI447ZQWRD274XRLUOPCOCN2ANCLSAVC2SVKTE3JFFA,Sender
2021-10-20 15:35:21,,,,ALGO,18.43,,,NNAMJ3HWIMYMMJQWCVAMFKV44TD3ZDTVA7TNKCD7UFPLK4FFIBRA,Receiver
2021-10-20 15:37:11,,ALGO,18.4,,,ALGO,0.001,6RRABIHCB6XRNS47EMNMLH7SEFC67BEONVW3MA33L3EEQFBZUL6Q,Sender
2021-10-28 06:11:26,,,,ALGO,1.45,,,QPZIGM3QIDO2MLNVBXAXXO7TJYV5B4PSQ4RQB6JPGUIVIGWEPG4A,Receiver
2021-10-28 06:16:37,,LLBBsG1,0.,,,,,I34ODFTCXKDOLOPHBQGIMNZOBMQI7P5CKSAOC4NA3T52LJTPAIZA,Asset Opt in/out
2021-10-28 06:17:17,,,,LLBBsG1,1.,,,5BQTO7GZ3XHVNCOUGKLDBM52XV3FK2E6SFH3T4RZNZLO2SZ4PDSQ,Receiver
2021-10-30 08:08:15,,ALGO,1.39,,,ALGO,0.001,3Y2CEXCOPGPZIG4KVTF44ABMA4GZZVPP42BQOLXGX4T5Q2MM42TA,Sender
2021-11-11 09:32:05,,,,ALGO,5.,,,ZAELS5KOMHVDPVJPHCRABIJKWF724GT2D7XNJ2SYMFNQSQ3PL7CA,Receiver
2021-11-12 01:52:38,,G65,0.,,,,,255TXZTTV55Q6VC3MNGXLHIDX4GQ7YTO7LDPUAP2TIMYMZIO2WJA,Asset Opt in/out
2021-11-12 01:58:38,,,,G65,1.,,,NA7IDNFHRV6OGX2PSILMFJFDNKBMO4UFLTLQPKGTNN4FMCHS76QA,Receiver
2021-11-12 10:19:18,,AB2-F,0.,,,,,2N4L6G6R33PRBQS6TNETFKIFDHUEBRADTVWRLHWO3IB4AZVI3GEA,Asset Opt in/out
2021-11-12 10:20:45,,,,,,ALGO,0.001,2NJY65UWATU7NN475ZOBSUPPBIY7LMP2HPLG65QOKNF7IHGZ2N3A,Sender
2021-11-12 10:21:33,,G65,1.,,,ALGO,0.003,RC5gErSdMhvKdr8R6siovqhBKPjFjjvTT9B6GEsmqjs=,3 txns. 
2021-11-12 10:21:33,,ALGO,0.203,,,,,Combo 2 RC5gErSdMhvKdr8R6siovqhBKPjFjjvTT9B6GEsmqjs=,3 txns. 
2021-11-12 10:32:32,,ALGO,1.,NAFxSaus,1.,ALGO,0.003,y9zu/n8k9hnoNuNQRzwmw8SNTtEVxWo1a10HrShgD70=,4 txns. 
2021-11-13 21:44:19,,ALGO,2.,,,ALGO,0.001,CEW5CW4DAYWMLR4ZAY67J7WQO7XQNNETKQORIXTTJFS747UQQ2AA,Sender
2021-11-15 10:14:37,,ALGO,1.,,,ALGO,0.001,ZTJH347EVGFEHNZTJBKS4C5M5XUOVZRHYI6HJSWY36RQFFEC2NHA,Sender
2021-11-17 22:04:15,,,,,,,,AjxpSI5TRbg02HvmVw4HjEDnKSE53EopYgewYXEbafQ=,2 txns. 
2021-11-18 09:43:17,,ALGO,50.,,,ALGO,0.001,CAP7RGBS2YJ23TQDGVY3JQ2IHUBS66IJG76IQNM7SU2R6MGD2JAQ,Sender
2021-11-19 03:10:47,,ALGO,25.,ORCIE02,1.,ALGO,0.003,HDvdFNONiugDErIGW2uGA/uLeGrHKVyU3nqYNyGMIdo=,4 txns. 
2021-11-19 03:12:41,,,,,,ALGO,0.001,RFDHBF62YKSJXQOV7T7VQHPH5IPGCS6SI3WREYKKUQIORSMAL7OA,Sender
