time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description
2024-05-23 18:37:17,,MCAU,0.01,,,ALGO,0.001,G-JY/LH - NVO6EYAA5Q3XYPVGACGLIVJ7ZWF3QHPKWOHZGTYQYHHUKDIEXKCQ,2 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
2024-05-23 18:37:17,,,,,,ALGO,0.003,G-JY/LH - IUECTDV5KSAKQAJPOAS3VUNJ4QIV3VIB2ZQCWFGQG5PEWWZX3W4A,2 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
2024-05-23 18:37:17,,,,TMPOOL2,0.001392,,,in1 InnerTxn - IUECT,2 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
2024-05-23 18:37:57,,MCAU,0.01,,,ALGO,0.001,G-e3zo3 - FPK5IQQ47BOUW7XO7ORQBQMZ64KUDHWM7DD5PDXOLSNQRW2W6XQA,2 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
2024-05-23 18:37:57,,,,,,ALGO,0.003,G-e3zo3 - U7ROJXDOGWGY3YQDF72TUL3U4MZXAKF2BG3P7VZKBZLEAJDBPB2Q,2 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
2024-05-23 18:37:57,,,,TMPOOL2,0.001391,,,in1 InnerTxn - U7ROJ,2 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
2024-05-23 18:38:57,,MCAU,0.01,,,ALGO,0.001,G-X79gk - SND27UGKJBA2TVZICW5HPYWO7EGQN7PA76CT6AAWCZMOQI36GVAA,2 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
2024-05-23 18:38:57,,,,,,ALGO,0.003,G-X79gk - L4OZHYNHKHXQ3OCVPGA5PBWKYGJGMW62R7LSW34SM6TSXYFMMMKA,2 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
2024-05-23 18:38:57,,,,TMPOOL2,0.001381,,,in1 InnerTxn - L4OZH,2 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
2024-05-23 18:40:49,,ALGO,4.181359,,,ALGO,0.001,G-3/Hor - VB2RV5WTL3INALOEJJ4SMZ3QLSDPLYWFSAWTTCGWQY2LJNCXRNSQ,2 txns. Tinyman : Tinyman AMM v2 : Swap (Buy) 
2024-05-23 18:40:49,,,,,,ALGO,0.009,G-3/Hor - WLNEFSO5Q47WJ6CSXWKIBSPXFXVDNCPFTFQX3LH5JQUFJACVR32A,2 txns. Tinyman : Tinyman AMM v2 : Swap (Buy) 
2024-05-23 18:40:49,,,,ALGO,0.020802,,,in1 InnerTxn - WLNEF,2 txns. Tinyman : Tinyman AMM v2 : Swap (Buy) 
2024-05-23 18:40:49,,,,GOLD$,0.01,,,in2 InnerTxn - WLNEF,2 txns. Tinyman : Tinyman AMM v2 : Swap (Buy) 
2024-05-23 18:41:26,,GOLD$,0.001,,,ALGO,0.001,G-XNRqi - MO46ZFDJVUFHYHBGMG2ENSOTMVMLID7OOSLQOJJVPBUDDDAVOJ5A,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
2024-05-23 18:41:26,,MCAU,0.01,,,ALGO,0.001,G-XNRqi - ZSSIECNGOV2J4BAX4VJ75XGDBEFPP772524QZZEUDB3MSAVHJ3CQ,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
2024-05-23 18:41:26,,,,,,ALGO,0.003,G-XNRqi - 2SB444GLMZNIJJBFTE6VVA3T5QJTW3ANWRPZ454VGYYMSCYT2DPQ,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
2024-05-23 18:41:26,,,,TMPOOL2,0.001571,,,in1 InnerTxn - 2SB44,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
2024-05-23 18:42:29,,GOLD$,0.009,,,ALGO,0.001,G-LHUbl - 3NYRGNP5GT7OSVFRFQ4NE2DC5NGW2VM35WM2SOEINWKY54G3AESA,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
