ID,platform,appName
1088115567,Humble Swap,gALGO/USDC Liquidity Pool
1088495649,Cometa,Skynet-ALGO LP > Skynet
1089739863,Pact,SILVER$/ALGO Liquidity Pool
1089997525,Cometa,KC-ALGO LP > KC
1091396923,Cometa,INFT > INFT
1091551281,Pact,gALGO/goUSD Liquidity Pool
1092426381,Cometa,META > Tacos
1092503478,Cometa,ABCA > ABCA
1093274092,Cometa,ALC-ALGO LP > ALC
1093919911,Humble Swap,gALGO/USDt Liquidity Pool
1094070961,Humble Swap,RAWR/ALGO Liquidity Pool
1094752191,Pact,ABCA/SCOUT Liquidity Pool
1094753084,Pact,ABCA/USDC Liquidity Pool
1094754871,Pact,1037125809/ALGO Liquidity Pool
1095032598,Cometa,INFT-ALGO LP > INFT
1095312368,Cometa,CRSD-ALGO LP > CRSD + ALGO
1095885490,Humble Swap,NPEPE/ALGO Liquidity Pool
1096122909,Pact,PEPE/goETH Liquidity Pool
1096292251,Pact,PEPE/Finite Liquidity Pool
1096496871,Pact,1096015467/ALGO Liquidity Pool
1096545956,Humble Swap,PEPE/ABCA Liquidity Pool
1096908252,Cometa,Skynet > Skynet
1097421709,Cometa,Shots-ALGO LP > MOIST
1097496346,Cometa,COSG > COSG
1097545704,Cometa,FOX-ALGO LP > PEPE + ALGO
1097809489,Cometa,PCHY-ALGO LP > INFT
1097841051,Cometa,PCHY > INFT + ALGO
1097875125,Cometa,MOOP-ALGO LP > PEPE + ALGO
1098846149,Cometa,ROYAL > PEPE
1099563747,Pact,PEPE/goUSD Liquidity Pool
1099885136,Cometa,PEPE-ALGO LP > META
1100197957,Cometa,GROW > GROW
1100473750,Pact,818432243/ALGO Liquidity Pool
1101653406,Cometa,MOIST > MOIST
1101885451,Pact,246516580/ALGO Liquidity Pool
1102415949,Cometa,ROOBZ > ROOBZ
1103395819,Pact,796425061/ALGO Liquidity Pool
1103398351,Humble Swap,796425061/ALGO Liquidity Pool
1104647287,Pact,COOP/USDC Liquidity Pool
1105758414,Humble Swap,WCT/ALGO Liquidity Pool
1107039506,Pact,PEPE/COOP Liquidity Pool
1107655435,Pact,CRSD/goBTC Liquidity Pool
1108001703,Humble Swap,ABCA/COOP Liquidity Pool
1108260853,Cometa,GROW > GROW
1109207898,Pact,724480511/ALGO Liquidity Pool
1109568933,Pact,AKTA/Finite Liquidity Pool
1109641718,Cometa,AWT-ALGO LP > AWT
1110082577,Cometa,CPV-Finite LP > Finite
1110651519,Cometa,Tendies-ALGO LP > Tendies
1110655047,Cometa,Tendies > Tendies
1110828764,Cometa,PRSMS-ALGO LP > PRSMS
1111226993,Pact,DEFLY/goBTC Liquidity Pool
1111416823,Pact,GARD/USDC Liquidity Pool
1111551086,Cometa,CARDI-ALGO LP > CARDI
1111685582,Cometa,BOYS-ALGO LP > BOYS
1111863028,Cometa,Tendies-PEPE LP > Tendies
1112561592,Pact,VEST/401752010 Liquidity Pool
1114717395,Humble Swap,ABCA/YLDY Liquidity Pool
1116852053,Pact,SICO/ALGO Liquidity Pool
1117050135,Pact,SICO/PEPE Liquidity Pool
1117050844,Pact,SICO/COOP Liquidity Pool
1117156275,Pact,SICO/SCOUT Liquidity Pool
1117503936,Cometa,ZONE > ZONE
1117565078,Cometa,COOP > ABCA
1117572914,Cometa,PEPE > ABCA
1118067916,Pact,1114942423/ALGO Liquidity Pool
1118352176,Pact,SICO/ABCA Liquidity Pool
1118358790,Pact,1105062628/ALGO Liquidity Pool
1120347547,Humble Swap,1119722936/ALGO Liquidity Pool
1122945667,Pact,1119722936/ALGO Liquidity Pool
1123060755,Pact,1118456851/ALGO Liquidity Pool
1124274750,Pact,31566704/ALGO Liquidity Pool
1124469210,Humble Swap,1124070239/ALGO Liquidity Pool
1124472462,Pact,1124070239/ALGO Liquidity Pool
1125036323,Pact,OTSDAML/ALGO Liquidity Pool
1126342413,Pact,WOOD/SCOUT Liquidity Pool
1126805792,Pact,1124915436/ALGO Liquidity Pool
1127455434,Cometa,META > META
