time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner
2024-06-14 05:19:24,pay,,,ALGO,0.000013,,,(Group- BDsDs...) - 3ACQRAKRJ2HL52U53HNAR3EWVCUXBZX2JZKYYAKICKBUIDMFC6OQ,1 txns.  ,WARN666...
2024-06-14 05:48:39,axfer,USDC,7.7,,,ALGO,0.001,KZDBRR67YVLDQZUJIDSOGQQQJ6VEOMVYNKJRMXAUCYMZXTYOFCUA,Sender,EHYLWOF...
2024-06-14 05:53:41,pay,,,ALGO,0.000065,,,(Group- RMntJ...) - BH6BA3DRZXKRLYEYUGLLY4W6NZQABIN6OQY44ASGTURI57UGB5EQ,1 txns.  ,SNFIHBC...
2024-06-14 05:53:58,pay,,,ALGO,0.000013,,,(Group- jFt4C...) - Z4A3UEZV7AWHNVSFMGJH2KQHY7NQPBZAIJ356UKBNOOYIIM5QVBA,1 txns.  ,WARN666...
2024-06-14 05:54:16,pay,,,ALGO,0.000013,,,(Group- Hunca...) - SZ4GL3ANCBGIHRTY5DYUE27VITGZRRLXDQXQW4JENJLHYCD454PA,1 txns.  ,WARN666...
2024-06-14 07:12:07,axfer,USDC,25068.,,,ALGO,0.001,UTCQZLAMZ3GA3LTQ2JU2LD7TUW7S5LNP2RVQRJQWM2ZE7MMLJPGQ,Sender,EP3B4JU...
2024-06-14 07:17:1,pay,,,ALGO,0.000076,,,(Group- jP1nN...) - P3WTHJNHLJ2AX7VNPR3U7ZVCHCZOCH7UD5LXDAEVDVH32HNHSDTA,1 txns.  ,HEGP2JR...
2024-06-14 07:17:33,pay,,,ALGO,0.000013,,,(Group- LjzA5...) - JQNHLVTPOBYXWCWMTSCDLZRGPXC2GT2BYI2P22L2VMGUVZUFLVOA,1 txns.  ,WARN666...
2024-06-14 07:17:47,pay,,,ALGO,0.000013,,,(Group- Msxry...) - MT3NAII74M2KU6KZ24QT74KHAYQWTBF7G6Q75XGXZPVHBAA36XMA,1 txns.  ,WARN666...
2024-06-14 08:12:05,axfer,USDC,11.09,,,ALGO,0.001,BSCG3IAXOHBGATP22XSE6Z6VX7KWF4MAMDKGTEFM7IQAOVOS2EQQ,Sender,ADWSSQ4...
2024-06-14 08:17:05,pay,,,ALGO,0.000059,,,(Group- gf2cq...) - Q3N3TEJTWVT57JK4X3BQFEYOPEMIXXZUULFPXYOT7M3Y27ZEW75Q,1 txns.  ,2TZQGMP...
2024-06-14 08:17:11,pay,,,ALGO,0.000013,,,(Group- PJc2P...) - TQUCTRLT27JVMYIS6VD5PCELBA4U4MUBVZA6JCRJL72TLM53KYZA,1 txns.  ,WARN666...
2024-06-14 08:19:53,axfer,USDC,2032.,,,ALGO,0.001,IZXJL2TS5ZBBWL5ORLOYWAFY6LNFXNQXIMFOQTJSNYTRIJZT3VCA,Sender,7ZLQGRX...
